estacion,codigo
Ribera de Piquín,A047
Pontenova ,N020
El Llano,1428
San Tirso de Abres,A048
Mazo de Meredo,A616
Sueiro,A613
San Pelayo,S405
Ponte Da Muria,1407
As Nogais,1401
Vallo,A050
San Antolín,A610
Paladeperre,1397
Luarca,A053
Trevías,A609
Cornellana,1348
S. Martín de Lodón (Canal),A069
Puente San Martín,A068
Almurfe,1347
Arganza,1361
Corias,A606
Regla de Corias,1349
Villar de Lantero,1366
Pte. Acceso P. de la Barca,A626
Requejo,A615
Puente de Quinzanas,1373
Quinzanas,Q103
Vega del Rey,A058
Argame,A061
Trubia (Machón),A620
Trubia (Desembocadura),A624
La Fresneda,A622
Pola de Siero,A621
San Cucao,A064
Grado,A608
El Condado,A605
Sama,A618
Vegalencia,1338
Bueño,1372
Palomar,N074
Grullos,Q102
Peñaullán,1370
Salinas,N030
Gijón,1306
Villaviciosa,A623
Sobrefoz,A603
Santillán,A611
Cangas de Onís,N033
Villamayor,A073
Ozanes,A604
Arriondas,A075
Ribota,A353
Pervís,A614
Santianes de Tornín,A627
Cangas de Onís,A602
Arriondas,Q101
Fuentes,A628
Nueva de Llanes,A619
Rales,A074
Las Arenas,1277
Poncebos,A600
Mier,A080
Ojedo,A702
Ojedo,A703
Puentelles,A078
Panes,A617
Puente Pumar,A252
Roiz,N078
Arenas de Iguña,Q119
Los Corrales de Buelna,A708
Puente de Torres,N038
Fresneda,N037
Puente de Ruente,1248
Santa Lucía,1245
Puente San Miguel,E055
Torrelavega,Q106
La Penilla,A705
San Lorenzo,A086
Puente Viesgo,A088
Carandia,Q104
Entrambasaguas,N044
Liérganes,A091
La Cavada,A090
Puente Agüero,Q118
Beranga,N045
La Gándara,A706
Pondra,A143
Ramales,A141
Coterillo,A701
Guriezo,A700
Alonsotegi,Q117
Arrigorriaga,Q114
La Peña,Q116
Lemoa,A145
Lemoa,A851
Andoain,A149
Ereñozu,A900
Ergobia,Q115
Legasa,A138
Endarlatsa,A140
