estacion,codigo,seguimiento,prealerta,alerta
Ribera de Piquín,A047,2.10,2.60,3.50
Pontenova ,N020,3.20,4.00,4.70
El Llano,1428,No definido,No definido,No definido
San Tirso de Abres,A048,2.20,2.80,3.50
Mazo de Meredo,A616,1.80,2.40,3.00
Sueiro,A613,2.20,2.60,3.00
San Pelayo,S405,5.50,No definido,No definido
Ponte Da Muria,1407,3.00,No definido,No definido
As Nogais,1401,2.00,No definido,No definido
Vallo,A050,1.90,2.40,2.60
San Antolín,A610,2.00,2.40,2.70
Paladeperre,1397,2.50,No definido,No definido
Luarca,A053,1.50,1.80,2.10
Trevías,A609,2.00,2.50,3.00
Cornellana,1348,1.50,2.00,3.00
S. Martín de Lodón (Canal),A069,3.00,No definido,No definido
Puente San Martín,A068,1.50,1.90,2.40
Almurfe,1347,2.30,3.00,No definido
Arganza,1361,2.30,3.30,No definido
Corias,A606,1.90,2.40,3.00
Regla de Corias,1349,2.90,3.30,3.90
Villar de Lantero,1366,2.50,3.50,No definido
Pte. Acceso P. de la Barca,A626,3.60,5.10,No definido
Requejo,A615,2.90,3.50,4.00
Puente de Quinzanas,1373,No definido,No definido,No definido
Quinzanas,Q103,2.10,2.50,2.90
Vega del Rey,A058,1.50,1.90,2.50
Argame,A061,3.00,3.40,3.70
Trubia (Machón),A620,3.50,4.00,4.50
Trubia (Desembocadura),A624,3.00,3.50,4.00
La Fresneda,A622,2.20,2.90,3.50
Pola de Siero,A621,2.00,2.80,3.50
San Cucao,A064,4.00,4.50,5.00
Grado,A608,1.20,1.60,2.00
El Condado,A605,2.60,3.00,3.60
Sama,A618,1.90,2.40,2.90
Vegalencia,1338,2.20,No definido,No definido
Bueño,1372,3.00,No definido,No definido
Palomar,N074,3.60,4.60,5.60
Grullos,Q102,4.20,4.60,6.00
Peñaullán,1370,5.50,7.50,9.00
Salinas,N030,1.55,1.85,2.20
Gijón,1306,2.50,3.50,5.00
Villaviciosa,A623,1.50,1.90,2.30
Sobrefoz,A603,1.00,1.30,1.60
Santillán,A611,1.20,1.80,2.40
Cangas de Onís,N033,1.80,2.20,3.10
Villamayor,A073,4.00,4.50,5.00
Ozanes,A604,2.00,2.50,3.50
Arriondas,A075,2.80,3.50,4.40
Ribota,A353,2.00,2.60,3.40
Pervís,A614,2.15,2.65,3.50
Santianes de Tornín,A627,2.60,3.60,5.00
Cangas de Onís,A602,4.00,4.50,5.30
Arriondas,Q101,4.30,5.30,6.30
Fuentes,A628,4.50,6.00,7.50
Nueva de Llanes,A619,1.20,1.80,2.40
Rales,A074,1.40,1.80,2.20
Las Arenas,1277,1.50,2.00,No definido
Poncebos,A600,3.30,3.70,4.00
Mier,A080,3.00,3.30,4.20
Ojedo,A702,1.20,1.60,1.90
Ojedo,A703,1.40,1.80,2.50
Puentelles,A078,2.20,3.50,4.50
Panes,A617,3.50,4.50,5.20
Puente Pumar,A252,2.10,2.80,3.50
Roiz,N078,1.50,1.95,2.20
Arenas de Iguña,Q119,3.40,3.60,3.90
Los Corrales de Buelna,A708,2.30,2.60,No definido
Puente de Torres,N038,3.00,3.30,4.10
Fresneda,N037,2.80,3.20,3.50
Puente de Ruente,1248,1.70,2.00,2.20
Santa Lucía,1245,3.40,3.70,4.00
Puente San Miguel,E055,1.80,2.40,3.00
Torrelavega,Q106,3.50,4.00,4.60
La Penilla,A705,1.10,1.60,2.10
San Lorenzo,A086,2.65,3.30,3.90
Puente Viesgo,A088,5.20,5.70,6.40
Carandia,Q104,2.10,2.70,3.10
Entrambasaguas,N044,2.80,3.40,3.80
Liérganes,A091,1.80,2.20,No definido
La Cavada,A090,3.00,3.80,4.50
Puente Agüero,Q118,2.40,2.80,3.20
Beranga,N045,3.00,3.50,4.30
La Gándara,A706,No definido,No definido,No definido
Pondra,A143,2.00,No definido,No definido
Ramales,A141,3.00,3.30,4.00
Coterillo,A701,3.60,4.40,5.40
Guriezo,A700,2.80,3.20,3.60
Alonsotegi,Q117,2.70,3.00,3.50
Arrigorriaga,Q114,3.00,4.00,4.70
La Peña,Q116,3.30,4.30,5.20
Lemoa,A145,3.00,4.30,5.10
Lemoa,A851,2.60,3.00,4.00
Andoain,A149,4.40,5.40,6.40
Ereñozu,A900,3.20,4.00,4.40
Ergobia,Q115,3.80,4.50,4.80
Legasa,A138,2.80,4.00,4.60
Endarlatsa,A140,4.00,5.70,6.40
